GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AmatuerPhotoshop,com.photoshop.servlet,DataServlet,27,0,0,0,8,0,4,0,4,0
AmatuerPhotoshop,com.photoshop.servlet,RequestForwarder,148,0,15,0,45,0,18,0,5,0
AmatuerPhotoshop,com.photoshop.servlet,ViewServlet,35,0,0,0,10,0,4,0,4,0
AmatuerPhotoshop,com.photoshop.service,ReimbursementService,12,66,1,1,2,11,3,10,2,10
AmatuerPhotoshop,com.photoshop.service,UserService,5,38,0,0,1,10,1,7,1,7
AmatuerPhotoshop,com.photoshop.util,ConnectionUtil,3,32,0,2,2,10,0,4,0,3
AmatuerPhotoshop,com.photoshop.util,SessionController,4,17,0,0,2,5,1,3,1,3
AmatuerPhotoshop,com.photoshop.repo,ReimbursementDao,145,387,2,8,40,72,3,12,2,8
AmatuerPhotoshop,com.photoshop.repo,UserDao,59,386,0,6,17,81,1,11,1,8
AmatuerPhotoshop,com.photoshop.model,UserRole,8,32,0,0,4,7,2,4,2,4
AmatuerPhotoshop,com.photoshop.model,ReimbursementStatus,8,32,0,0,4,7,2,4,2,4
AmatuerPhotoshop,com.photoshop.model,Reimbursement,52,125,0,2,18,27,9,14,9,13
AmatuerPhotoshop,com.photoshop.model,ReimbursementType,8,32,0,0,4,7,2,4,2,4
AmatuerPhotoshop,com.photoshop.model,User,28,87,0,0,14,17,7,9,7,9
AmatuerPhotoshop,com.photoshop.controller,ReimbursementController,255,71,2,0,63,20,6,5,5,5
AmatuerPhotoshop,com.photoshop.controller,UserController,36,79,0,4,8,20,2,6,2,4
